Protein Set,norm(Weighted SC Z1),norm(Weighted SC Z2),norm(Weighted SC Z3),norm(Weighted SC Z4),norm(Weighted SC Z5),norm(Weighted SC Z6),norm(Weighted SC Z7),norm(Weighted SC C1),norm(Weighted SC C2),norm(Weighted SC C3),norm(Weighted SC C4),norm(Weighted SC C5),norm(Weighted SC C6),norm(Weighted SC C7),norm(Weighted SC C8),norm(Weighted SC C9),norm(Weighted SC C10),norm(Weighted SC C11),norm(Weighted SC C12)
MYH9_HUMAN,87.27277464562465,79.93131109026915,74.17636618156544,145.7029864832057,74.34153501789258,87.55157849352865,93.89197009835837,145.25435484981196,82.06610949494221,34.065338548896946,4.367833809298663,111.62541088949654,18.780412893403938,127.39040227185023,4.4650894898633195,141.26484511325614,47.37024495032799,95.38127523542039,132.18552979151315
FLNA_HUMAN,29.737816759882467,17.481924493589464,15.017278046799813,81.05599856816663,22.680577681466797,48.310207338743496,34.69236224923728,56.150274649616655,12.658692197578922,11.150274690864723,21.409533934039263,59.887648438324646,20.19741271029847,39.566099598510384,4.4650894898633195,28.23950026462334,15.665426224742053,28.389331876045382,26.2445507876069
VIME_HUMAN,104.73684019738246,119.47899480608946,105.01483664054982,135.05404544316664,130.6761831502168,141.3087424949935,110.68943256173728,143.14832152461665,107.65722735382893,92.14978640961472,65.40904565278926,148.88618359457465,98.19643614779848,141.5656113172604,4.4650894898633195,112.23852370212335,77.66396138099206,115.38933187604539,159.2440625063569
K2C1_HUMAN,128.9110955684762,195.47875066546447,135.98267111320607,-2.94400143183337,216.19543974201366,23.21849820178061,53.823755681854465,44.23978270625728,65.9713066384969,80.29738467621628,94.37323327485959,56.43780789267035,21.832775335420543,11.07657189617884,4.4650894898633195,38.2019178671624,124.36017414954675,13.297622739082492,76.64364441553658
ACTB_HUMAN,85.05016417199184,88.2839111879254,80.80518087883107,124.5588977380885,72.58447782795118,88.9531287864974,101.92351764474509,129.23972167110102,122.98673327423909,51.51232760834519,73.84781213228146,114.66394696127388,65.7119123746051,124.00685734997523,11.053324868128701,128.57670424411552,107.05399128821863,150.06705099225633,178.27023132959908
PLSL_HUMAN,60.615353533564104,59.33496709612852,84.89481100578419,137.8845508142604,57.607098982736325,93.28571698229818,93.52091449533103,118.05230559444088,81.63420184113362,21.150274690864723,26.409533934039263,111.71620068441841,42.17292235385315,110.46813054333461,4.4650894898633195,118.92109511325616,36.61644169715416,92.31585317731492,113.17107208887643
ANXA6_HUMAN,74.73781675988246,35.48192449358946,53.01727804679981,118.05599856816663,45.680577681466794,80.3102073387435,59.69236224923728,144.15027464961665,72.65869219757893,27.150274690864723,46.40953393403926,82.88764843832466,59.197412710298465,70.56609959851039,4.4650894898633195,82.23950026462335,61.66542622474205,82.38933187604539,86.2445507876069
ALBU_HUMAN,45.73781675988246,38.48192449358946,23.017278046799813,4.05599856816663,36.680577681466794,16.310207338743496,46.69236224923728,25.15027464961666,23.658692197578922,66.15027469086472,73.40953393403927,12.88764843832465,7.197412710298471,25.566099598510384,4.4650894898633195,73.23950026462335,115.66542622474206,170.3893318760454,85.2445507876069
MOES_HUMAN,65.07515043908168,46.92850347308165,52.68714651603809,64.28288913213147,38.46088926593945,59.537101717405605,48.47387164865134,80.26792754268307,81.65249712921955,41.930586275337376,58.189845518511916,57.5587185372016,39.645193319429325,62.45925374279749,4.4650894898633195,59.6872808737542,60.11320301917564,72.61623006940476,59.470243536630335
K1C10_HUMAN,102.83158201867153,120.46021886614805,72.82785543937794,-2.94400143183337,131.8812917927949,0.3102073387434965,32.65827029977439,14.127547636982381,18.568844632881657,56.50408023285691,30.272464231890826,5.881966446747502,4.197412710298471,-0.43390040148961706,4.4650894898633195,-0.7604997353766603,57.421968430552596,-1.6106681239546194,27.166067206063932
K22E_HUMAN,63.65803618126918,89.28371282366759,43.61992010612598,-2.94400143183337,108.07806913654493,4.3473543838789945,15.044399679046847,10.448320761677204,15.784123258369938,54.15828174042527,35.36794228975215,18.461422776093205,9.66862509738343,4.833285286529182,4.4650894898633195,3.0787405771996337,33.116914719615096,0.0016999828874215694,8.369836889901823
HBB_HUMAN,60.68560881310512,41.51003881243712,51.4510167552959,13.421459917653934,33.600255415841794,73.66361615222006,155.69636005197165,65.28682555293697,73.60647662140705,106.20650332856003,212.81917138521115,59.98403439413519,16.454441290010383,39.99983449230921,4.4650894898633195,79.106970052221,151.07506367591392,77.74274831891648,94.85499390284127
ANXA1_HUMAN,34.73781675988246,11.481924493589462,37.01727804679981,40.05599856816663,13.680577681466797,37.310207338743496,49.69236224923728,70.15027464961666,31.658692197578922,5.1502746908647214,28.409533934039263,52.887648438324646,28.197412710298472,41.566099598510384,4.4650894898633195,28.23950026462334,26.665426224742053,40.389331876045375,51.2445507876069
HSP7C_HUMAN,19.909901568232076,30.654255349912706,32.79650244255176,46.851290468801395,21.370400832101563,30.83175274889975,29.44519084725974,35.19701232051509,26.328614072578922,22.490080293892067,24.274112181109576,43.65664563070746,23.55713866244691,39.134520008666634,4.4650894898633195,32.481035451390916,39.768308609995955,37.81208425641647,54.30434616724557
TBB5_HUMAN,30.99002928429653,21.548296411314073,36.371259064866216,74.45865512334241,9.764647887155272,50.358879061155605,50.43572467599509,79.75646819209713,58.79143603302814,2.150274690864722,14.595374540728717,80.90092358480904,22.07794402133363,71.08822484265102,4.4650894898633195,31.797018269994435,8.156576127085803,55.929153500801235,63.66490753809518
ACTC_HUMAN,5.819837996302144,6.032048661985458,6.004021973801767,4.524929766286747,4.42457120220349,3.8503896908095365,4.644309461456516,7.28366221522945,7.806992368477359,3.9854031174165407,4.999426083010821,6.998668526520452,5.542069177736215,10.843648388488411,4.876854201004906,6.1980755133416015,8.502211541209338,8.556689320808564,7.683655821481412
G3P_HUMAN,38.73781675988246,30.481924493589464,46.01727804679981,66.05599856816663,16.680577681466797,54.310207338743496,48.69236224923728,73.15027464961666,61.65869219757892,12.150274690864723,59.40953393403926,64.88764843832465,47.197412710298465,46.566099598510384,4.4650894898633195,59.23950026462334,81.66542622474206,69.38933187604539,74.2445507876069
KPYM_HUMAN,8.737816759882467,4.481924493589462,15.017278046799813,37.05599856816663,2.6805776814667954,26.3102073387435,15.692362249237277,34.150274649616655,21.658692197578922,4.1502746908647214,1.4095339340392639,15.88764843832465,6.197412710298471,17.566099598510384,4.4650894898633195,14.239500264623342,12.665426224742053,16.389331876045382,39.2445507876069
TPIS_HUMAN,74.73781675988246,58.48192449358946,21.017278046799813,32.05599856816663,69.6805776814668,28.3102073387435,35.69236224923728,63.150274649616655,58.65869219757892,51.15027469086472,55.40953393403926,49.887648438324646,33.19741271029847,60.566099598510384,5.4650894898633195,52.23950026462334,50.66542622474205,59.389331876045375,60.2445507876069
ACTN4_HUMAN,12.737816759882467,3.481924493589462,9.017278046799813,33.05599856816663,2.6805776814667954,13.310207338743496,16.692362249237277,34.150274649616655,9.658692197578922,2.150274690864722,12.409533934039263,26.88764843832465,8.19741271029847,18.566099598510384,4.4650894898633195,31.23950026462334,20.665426224742053,22.389331876045382,15.2445507876069
ANXA2_HUMAN,43.73781675988246,18.481924493589464,31.017278046799813,38.05599856816663,13.680577681466797,70.3102073387435,39.69236224923728,56.150274649616655,36.65869219757892,5.1502746908647214,18.409533934039263,58.887648438324646,23.197412710298472,68.56609959851039,4.4650894898633195,32.23950026462334,43.66542622474205,50.389331876045375,64.2445507876069
TLN1_HUMAN,13.737816759882467,0.481924493589462,13.017278046799813,23.055998568166633,6.680577681466795,11.310207338743496,13.692362249237277,17.15027464961666,9.658692197578922,2.150274690864722,6.409533934039263,21.88764843832465,10.197412710298469,17.566099598510384,4.4650894898633195,7.23950026462334,10.665426224742053,15.389331876045382,13.2445507876069
TBB4B_HUMAN,2.4856042354684034,2.4155528142834317,2.663295598221933,5.6533439203394815,1.5965068201272263,4.261535139494229,3.9489993456423074,6.544081107136188,3.525948838966861,2.150274690864722,2.223693208140521,11.874373291840275,3.3168817568911826,7.0439757848812325,4.4650894898633195,2.6819782061364013,0.17427572635185484,4.849508820778047,7.824196898141568
HS90A_HUMAN,26.135615298090475,27.87972303179747,35.47325262565723,60.7934176965846,16.962024138375977,39.047626467161464,33.86689227853415,42.99461211299556,43.17284472443439,2.150274690864722,16.19569726411739,47.178526734223084,13.090494375337531,35.41043706188929,4.4650894898633195,28.63729880283135,26.733036011729357,58.68021017194381,35.64234741846627
PGK1_HUMAN,20.737816759882467,10.481924493589462,13.017278046799813,30.055998568166633,19.680577681466797,20.310207338743496,31.69236224923728,22.15027464961666,31.658692197578922,21.150274690864723,22.409533934039263,24.88764843832465,21.197412710298472,17.566099598510384,4.4650894898633195,34.23950026462334,28.665426224742053,50.389331876045375,41.2445507876069
K1C9_HUMAN,22.737816759882467,43.48192449358946,28.017278046799813,-2.94400143183337,29.680577681466797,0.3102073387434965,-0.30763775076272193,0.15027464961665693,14.658692197578922,6.1502746908647214,6.409533934039263,-1.1123515616753492,2.19741271029847,-0.43390040148961706,13.46508948986332,-0.7604997353766603,10.665426224742053,-1.6106681239546194,-1.7554492123931
H14_HUMAN,55.23781675988246,63.48192449358946,59.24369177360645,38.55599856816663,44.680577681466794,41.16869732897787,53.69236224923728,44.150274649616655,41.65869219757892,45.65027469086472,15.909533934039263,37.387648438324646,25.197412710298472,35.066099598510384,19.191504170344277,25.23950026462334,25.665426224742053,36.889331876045375,35.2445507876069
PERM_HUMAN,29.737816759882467,0.481924493589462,0.01727804679981393,-2.94400143183337,0.6805776814667954,0.3102073387434965,-0.30763775076272193,1.150274649616657,-0.3413078024210785,2.150274690864722,2.409533934039264,-1.1123515616753492,2.19741271029847,21.566099598510384,4.4650894898633195,76.23950026462335,93.66542622474206,-1.6106681239546194,-1.7554492123931
H4_HUMAN,82.73781675988246,71.48192449358946,133.01727804679982,112.05599856816663,84.6805776814668,87.3102073387435,95.69236224923728,93.15027464961666,64.65869219757893,47.15027469086472,23.409533934039263,91.88764843832466,54.197412710298465,85.56609959851039,4.4650894898633195,128.23950026462333,81.66542622474206,100.38933187604539,86.2445507876069
H12_HUMAN,54.87038893395473,63.0955566957379,58.878339142991216,39.33251452885999,44.438153670236325,40.90461728137045,53.36660617623923,43.90784682368892,41.37838442780353,45.335878786323704,15.799684004229693,37.13386044393988,25.03074477206605,34.850191547973274,16.10266845409672,25.118288259008107,25.49875828650963,37.605239926582485,35.03242691675729
TPM3_HUMAN,8.665448138056295,13.663941819944444,16.817715974045907,27.856436495412726,27.48101560871289,16.016059847288417,17.74718707833884,11.332291975971637,20.018311338203922,7.459485468147436,17.08277936403194,12.997298096527775,10.997851591218879,16.366537525756478,4.4650894898633195,12.349149922826465,12.520688981089709,14.371788083320773,15.500791632333463
1433Z_HUMAN,31.281327196894186,33.63028569964415,33.56078848381153,37.31562686406507,31.866027281686524,29.495655031614593,40.235872686248996,51.05184020137447,37.48608096100666,26.224453386543434,46.274012998980666,36.78921399008246,26.024801473726207,54.541849567992806,4.4650894898633195,34.06688902805107,37.85087391761314,41.61186987043014,39.82514771143502
PPIA_HUMAN,37.73781675988246,25.481924493589464,32.01727804679981,28.055998568166633,21.680577681466797,31.3102073387435,39.69236224923728,47.150274649616655,39.65869219757892,42.15027469086472,24.409533934039263,15.88764843832465,37.197412710298465,27.566099598510384,16.46508948986332,33.23950026462334,27.665426224742053,33.38933187604538,36.2445507876069
ATPB_HUMAN,26.737816759882467,13.481924493589464,33.01727804679981,37.05599856816663,6.680577681466795,29.3102073387435,25.69236224923728,49.150274649616655,28.658692197578922,2.150274690864722,2.409533934039264,40.887648438324646,2.19741271029847,40.566099598510384,4.4650894898633195,9.23950026462334,18.665426224742053,46.389331876045375,37.2445507876069
HS90B_HUMAN,14.340018221674459,19.084125955381456,18.56130346794239,34.25583529912366,12.399131224557616,28.572786302976898,17.517834127289035,25.27456320857662,27.113169507759586,2.150274690864722,12.623370603961138,30.59676823507758,7.304331045259408,23.721760227782845,4.4650894898633195,20.841701726415334,21.597816437754748,37.09845358014694,23.846752249398893
H13_HUMAN,0.1052410393338361,0.8682881489182126,0.3826296939384095,-2.7205165729628638,0.9230019162146821,0.574286820106793,0.01811984215376672,-1.6073011007342952,-0.06100474141262513,2.46466862845246,1.5193824184361984,-0.8585636566975507,2.3640793819321906,-0.21799130787122412,5.5539259213666154,-0.6392876105521363,-0.1679070887230658,-1.3265772175730124,-1.543327979049022
HBD_HUMAN,15.79002470665981,3.4538120820904386,5.583543153000986,-1.309463258157833,2.760898993417479,14.956793756895351,42.688345373016574,5.0137285146679265,8.710901098030583,16.094049867866676,62.99989266817012,4.791262959351262,2.9403846074237143,3.132364704711555,4.4650894898633195,8.372030477025683,23.255788773570178,8.035918294197236,14.634109579721159
CH60_HUMAN,0.7378167598824659,0.481924493589462,3.017278046799814,14.055998568166629,0.6805776814667954,2.3102073387434965,3.692362249237278,19.15027464961666,7.6586921975789215,2.150274690864722,1.4095339340392639,10.88764843832465,2.19741271029847,8.566099598510384,4.4650894898633195,10.23950026462334,3.6654262247420526,22.389331876045382,18.2445507876069
CAP1_HUMAN,12.737816759882467,13.481924493589464,17.017278046799813,35.05599856816663,1.6805776814667954,19.310207338743496,20.69236224923728,27.15027464961666,11.658692197578922,6.1502746908647214,3.409533934039264,16.88764843832465,2.19741271029847,25.566099598510384,4.4650894898633195,34.23950026462334,10.665426224742053,27.389331876045382,34.2445507876069
COR1A_HUMAN,43.73781675988246,33.48192449358946,39.01727804679981,29.055998568166633,22.680577681466797,36.310207338743496,31.69236224923728,32.150274649616655,33.65869219757892,8.150274690864721,11.409533934039263,24.88764843832465,13.197412710298469,28.566099598510384,4.4650894898633195,30.23950026462334,30.665426224742053,38.389331876045375,38.2445507876069
HBA_HUMAN,21.737816759882467,17.481924493589464,15.017278046799813,9.055998568166629,12.680577681466797,37.310207338743496,62.69236224923728,14.150274649616659,30.658692197578922,54.15027469086472,145.40953393403927,22.88764843832465,14.197412710298469,18.566099598510384,4.4650894898633195,41.23950026462334,89.66542622474206,24.389331876045382,41.2445507876069
TRFL_HUMAN,9.737816759882467,0.481924493589462,0.01727804679981393,-2.94400143183337,2.6805776814667954,3.3102073387434965,3.692362249237278,3.150274649616657,-0.3413078024210785,3.150274690864722,1.4095339340392639,-1.1123515616753492,2.19741271029847,17.566099598510384,9.46508948986332,78.23950026462335,6.665426224742053,-0.6106681239546194,1.2445507876069
NUCL_HUMAN,20.737816759882467,18.481924493589464,21.017278046799813,13.055998568166629,21.680577681466797,8.310207338743496,19.692362249237277,17.15027464961666,25.658692197578922,15.150274690864723,13.409533934039263,16.88764843832465,9.197412710298469,6.566099598510383,4.4650894898633195,2.2395002646233397,12.665426224742053,14.389331876045382,16.2445507876069
EZRI_HUMAN,19.11236471825649,14.881683786192003,15.116918893052254,16.492974047292606,28.717793867990235,16.747182817869472,15.641942441803195,21.562040701862752,19.220516996162907,10.187489923713844,8.446749166888385,19.899653290619572,10.509537916292121,16.365620091064095,4.4650894898633195,16.55162642429131,10.977551430735705,11.826307355171357,10.76916130701608
