Protein Set,norm(Weighted SC Z1),norm(Weighted SC Z2),norm(Weighted SC Z3),norm(Weighted SC Z4),norm(Weighted SC Z5),norm(Weighted SC Z6),norm(Weighted SC Z7),norm(Weighted SC C1),norm(Weighted SC C2),norm(Weighted SC C3),norm(Weighted SC C4),norm(Weighted SC C5),norm(Weighted SC C6),norm(Weighted SC C7),norm(Weighted SC C8),norm(Weighted SC C9),norm(Weighted SC C10),norm(Weighted SC C11),norm(Weighted SC C12)
ALBU_HUMAN,39.78715791682105,2.5891578951771126,7.365157923429714,-2.146842103586091,11.171157871616515,14.361157894551262,11.133157859950767,0.7691578827886596,-2.6048421245482993,2.651157895683752,5.897157900582509,2.593157895370828,2.517157895154761,2.635157894640671,2.657157895504938,77.92515790608476,5.957157913896697,658.281157880084,161.46115790679627
K2C1_HUMAN,346.20961275080543,2.5891578951771126,152.09425338241408,8.853157896413908,114.34262088431183,76.6080908779497,102.19956410995077,96.92333268747616,41.57523828927006,2.651157895683752,74.38929962421533,2.593157895370828,2.517157895154761,2.635157894640671,2.657157895504938,84.78554761555742,39.97543794319357,54.98805180098254,48.33092032745059
VIME_HUMAN,12.787157916821048,2.5891578951771126,3.3651579234297144,168.8531578964139,28.171157871616515,41.36115789455126,40.133157859950764,1.7691578827886596,55.339001717004436,2.651157895683752,2.897157900582509,3.593157895370828,2.517157895154761,2.635157894640671,2.657157895504938,4.925157906084763,17.957157913896697,25.2811578800841,18.46115790679629
MYH9_HUMAN,10.787157916821048,2.5891578951771126,0.3651579234297144,66.08951653899204,11.128733669651183,15.10661268275927,20.921037803798423,0.7691578827886596,27.26788431588139,2.651157895683752,1.8971579005825088,2.593157895370828,2.517157895154761,2.635157894640671,2.657157895504938,1.9251579060847628,0.9147337119313645,8.11146107222277,14.41873370483096
K1C10_HUMAN,216.72531404475072,2.5891578951771126,114.28162368270706,-2.146842103586091,96.14276889456573,32.325685024678215,51.78442586532186,67.23137712106991,20.998436989221233,2.651157895683752,76.75260376239892,2.593157895370828,2.517157895154761,2.635157894640671,2.657157895504938,51.40205609944414,29.406338516924038,25.063870816485466,23.387831795956448
K22E_HUMAN,155.41975679377416,2.5891578951771126,68.40035994979691,0.8123415893460377,53.75029758108917,18.68627119106005,50.675123344569904,34.967422958472255,7.553253235253947,2.651157895683752,45.0741827418911,2.593157895370828,2.517157895154761,2.635157894640671,2.657157895504938,30.21615064290117,2.335604969713347,16.943555264727653,12.17869006469424
K1C9_HUMAN,109.78715791682106,3.5891578951771126,43.36515792342971,-2.146842103586091,21.171157871616515,4.361157894551264,16.133157859950767,16.769157882788658,1.3951578754517007,2.651157895683752,1.8971579005825088,2.593157895370828,2.517157895154761,2.635157894640671,3.657157895504938,45.92515790608476,5.957157913896697,3.2811578800840993,30.46115790679629
ACTB_HUMAN,29.710995578564212,8.52875502499889,36.861781916349635,74.9721001571561,33.58234027518097,81.58542394679736,75.51358998885702,33.91396379099179,109.32696634713139,9.651157895683752,17.81171440387841,12.593157895370826,7.48695646006565,8.453950237780319,5.596755263745294,97.57043683674883,84.21600801155296,61.73182621504504,98.83489142730411
ANXA6_HUMAN,7.787157916821049,2.5891578951771126,9.365157923429713,39.85315789641391,19.171157871616515,74.36115789455127,60.133157859950764,15.769157882788658,82.3951578754517,2.651157895683752,1.8971579005825088,2.593157895370828,2.517157895154761,2.635157894640671,2.657157895504938,32.92515790608476,60.957157913896694,57.2811578800841,19.46115790679629
APOA1_HUMAN,-1.2128420831789506,2.5891578951771126,0.3651579234297144,-2.146842103586091,0.17115787161651408,-2.6388421054487363,-1.8668421400492328,0.7691578827886596,-4.604842124548299,2.651157895683752,1.8971579005825088,2.593157895370828,2.517157895154761,2.635157894640671,2.657157895504938,-1.0748420939152372,-2.0428420861033034,113.28115788008411,-0.5388420932037068
PLSL_HUMAN,-1.2128420831789506,2.5891578951771126,0.3651579234297144,77.80870904387486,5.171157871616514,40.33152914088915,31.110933433681236,0.7691578827886596,40.380341591272014,2.651157895683752,1.8971579005825088,2.593157895370828,2.517157895154761,2.635157894640671,2.657157895504938,10.925157906084763,22.94974977180685,25.244120984332145,17.46115790679629
TPIS_HUMAN,55.78715791682105,7.589157895177112,63.36515792342971,35.85315789641391,36.171157871616515,64.36115789455127,57.133157859950764,91.76915788278866,94.3951578754517,2.651157895683752,15.89715790058251,4.593157895370828,5.517157895154761,2.635157894640671,2.657157895504938,68.92515790608476,62.957157913896694,23.2811578800841,40.461157906796295
G3P_HUMAN,3.7871579168210494,2.5891578951771126,41.36515792342971,25.853157896413908,18.171157871616515,56.36115789455126,45.133157859950764,84.76915788278866,121.3951578754517,2.651157895683752,1.8971579005825088,3.593157895370828,4.517157895154761,2.635157894640671,2.657157895504938,40.92515790608476,78.95715791389671,30.2811578800841,19.46115790679629
MOES_HUMAN,19.48865022639136,2.5891578951771126,14.409932932584987,50.67405404509555,23.887575184238585,35.83876943629931,32.909277092128505,1.4407996498136535,50.917546333703655,2.651157895683752,1.8971579005825088,2.593157895370828,2.517157895154761,2.635157894640671,2.657157895504938,30.31321752217363,36.70342713997091,27.72891941572863,19.491007912899807
PERM_HUMAN,-1.2128420831789506,2.5891578951771126,0.3651579234297144,153.8531578964139,0.17115787161651408,-2.6388421054487363,-1.8668421400492328,0.7691578827886596,-4.604842124548299,2.651157895683752,1.8971579005825088,2.593157895370828,2.517157895154761,2.635157894640671,2.657157895504938,-1.0748420939152372,-2.0428420861033034,-2.7188421199159007,-0.5388420932037068
