Protein Set,K02,K04,K05,K07,K10,K12,K18,K20,K23,K24,K26,K27,K31,K32,K35,K41,K03,K06,K08,K09,K11,K13,K14,K15,K19,K22,K28,K29,K38,K40,K42,K43,K44,Z01,Z03,Z05,Z07,Z09,Z16,Z17,Z18,Z19,Z20,Z23,Z02,Z06,Z10,Z11,Z12,Z13,Z14,Z15,Z21,Z22,Z04,Z08,Z25
EIF2B5,8.0,8.0,7.0,7.0,6.0,7.0,4.0,3.0,3.0,3.0,8.0,5.0,6.0,5.0,6.0,8.0,5.0,7.0,2.0,8.0,6.0,5.0,6.0,8.0,2.0,5.0,4.0,8.0,5.0,6.0,9.0,7.0,6.0,4.0,8.0,5.0,4.0,8.0,6.0,8.0,9.0,9.0,6.0,6.0,7.0,5.0,4.0,3.0,5.0,4.0,10.0,8.0,6.0,6.0,7.0,7.0,9.0
RPS9,22.0,22.0,21.0,22.0,21.0,21.0,21.0,21.0,21.0,19.0,22.0,22.0,22.0,22.0,20.0,22.0,22.0,21.0,17.0,21.0,19.0,21.0,19.0,21.0,21.0,21.0,20.0,22.0,21.0,21.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,22.0,20.0,21.0,22.0,22.0,21.0,21.0,21.0,21.0,19.0,21.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,22.0,22.0
FBLN1,1.0,2.0,0.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
HADHB,27.0,30.0,26.0,29.0,26.0,27.0,27.0,20.0,26.0,24.0,27.0,28.0,26.0,27.0,27.0,27.0,27.0,26.0,15.0,28.0,28.0,21.0,28.0,28.0,16.0,23.0,20.0,27.0,27.0,27.0,29.0,31.0,29.0,29.0,27.0,28.0,30.0,28.0,28.0,27.0,28.0,28.0,25.0,29.0,27.0,29.0,21.0,19.0,23.0,28.0,27.0,29.0,29.0,30.0,28.0,29.0,27.0
GFPT1,23.0,23.0,20.0,22.0,19.0,20.0,20.0,14.0,14.0,10.0,21.0,18.0,18.0,14.0,17.0,22.0,17.0,19.0,2.0,20.0,21.0,15.0,23.0,19.0,11.0,19.0,15.0,22.0,20.0,23.0,23.0,21.0,23.0,23.0,21.0,25.0,25.0,25.0,26.0,26.0,27.0,25.0,16.0,22.0,25.0,21.0,12.0,12.0,19.0,23.0,24.0,24.0,20.0,22.0,26.0,24.0,23.0
PPM1F,8.0,9.0,8.0,9.0,8.0,9.0,10.0,3.0,4.0,6.0,8.0,9.0,9.0,8.0,7.0,11.0,10.0,9.0,3.0,5.0,8.0,8.0,8.0,9.0,4.0,8.0,7.0,11.0,8.0,8.0,10.0,10.0,9.0,12.0,11.0,9.0,10.0,11.0,10.0,11.0,10.0,12.0,8.0,10.0,10.0,11.0,6.0,6.0,7.0,9.0,9.0,10.0,8.0,10.0,11.0,10.0,11.0
UNC13D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SNF8,1.0,2.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0
ACTR1B,5.0,5.0,6.0,6.0,6.0,7.0,6.0,3.0,5.0,7.0,7.0,7.0,5.0,4.0,5.0,6.0,4.0,7.0,2.0,6.0,6.0,7.0,6.0,6.0,2.0,6.0,3.0,7.0,7.0,6.0,5.0,6.0,6.0,7.0,5.0,5.0,7.0,7.0,7.0,6.0,7.0,7.0,4.0,5.0,5.0,6.0,3.0,2.0,6.0,5.0,7.0,7.0,6.0,6.0,6.0,7.0,5.0
RAE1,13.0,14.0,15.0,14.0,10.0,14.0,15.0,11.0,13.0,14.0,14.0,9.0,15.0,15.0,13.0,14.0,11.0,13.0,8.0,14.0,15.0,9.0,14.0,14.0,12.0,13.0,11.0,16.0,14.0,11.0,17.0,13.0,16.0,14.0,14.0,14.0,13.0,15.0,12.0,14.0,13.0,14.0,13.0,16.0,11.0,10.0,9.0,10.0,12.0,12.0,13.0,12.0,13.0,14.0,17.0,14.0,15.0
NLE1,9.0,8.0,9.0,8.0,7.0,8.0,6.0,6.0,5.0,6.0,9.0,10.0,5.0,8.0,9.0,8.0,3.0,9.0,0.0,9.0,10.0,6.0,10.0,7.0,11.0,8.0,4.0,10.0,7.0,8.0,9.0,10.0,9.0,5.0,3.0,4.0,9.0,11.0,8.0,6.0,9.0,9.0,3.0,8.0,2.0,4.0,7.0,2.0,4.0,6.0,8.0,11.0,6.0,6.0,7.0,9.0,11.0
EFL1,5.0,9.0,6.0,7.0,5.0,7.0,7.0,1.0,2.0,2.0,2.0,5.0,6.0,4.0,5.0,6.0,7.0,4.0,0.0,6.0,8.0,6.0,7.0,6.0,1.0,2.0,5.0,7.0,5.0,6.0,8.0,7.0,7.0,5.0,6.0,6.0,4.0,7.0,6.0,7.0,7.0,8.0,3.0,3.0,6.0,1.0,1.0,2.0,4.0,5.0,5.0,6.0,5.0,5.0,9.0,9.0,6.0
FKBP3,13.0,11.0,11.0,11.0,10.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,11.0,13.0,13.0,14.0,10.0,13.0,11.0,11.0,12.0,12.0,12.0,11.0,14.0,14.0,9.0,11.0,13.0,11.0,11.0,12.0,11.0,14.0,12.0,13.0,14.0,14.0,11.0,13.0,12.0,14.0,11.0,13.0,12.0,13.0,14.0,13.0,12.0,15.0,14.0,13.0,14.0,12.0,13.0,11.0,14.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RRBP1,41.0,35.0,38.0,35.0,35.0,30.0,28.0,28.0,34.0,27.0,42.0,36.0,34.0,40.0,40.0,32.0,29.0,33.0,34.0,35.0,37.0,32.0,38.0,37.0,8.0,28.0,26.0,22.0,38.0,38.0,41.0,41.0,35.0,36.0,32.0,26.0,34.0,31.0,38.0,34.0,36.0,36.0,33.0,33.0,34.0,28.0,23.0,28.0,27.0,29.0,30.0,36.0,31.0,31.0,33.0,32.0,29.0
ARRB2,8.0,12.0,9.0,13.0,11.0,9.0,8.0,5.0,6.0,6.0,13.0,10.0,9.0,12.0,8.0,10.0,6.0,11.0,2.0,10.0,10.0,5.0,10.0,9.0,9.0,9.0,5.0,10.0,9.0,8.0,11.0,11.0,13.0,12.0,11.0,8.0,14.0,12.0,12.0,12.0,13.0,14.0,8.0,13.0,12.0,7.0,7.0,5.0,7.0,9.0,12.0,13.0,10.0,12.0,13.0,12.0,12.0
DYNLL2,8.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,7.0,6.0,9.0,9.0,6.0,9.0,8.0,8.0,7.0,7.0,5.0,6.0,6.0,7.0,7.0,7.0,8.0,7.0,5.0,8.0,8.0,8.0,9.0,8.0,9.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,8.0,7.0,7.0,7.0,6.0,8.0,8.0
HLA-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK5,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0
ECHS1,19.0,19.0,16.0,19.0,17.0,15.0,15.0,16.0,15.0,15.0,19.0,19.0,17.0,19.0,18.0,17.0,18.0,18.0,13.0,16.0,16.0,14.0,17.0,16.0,14.0,15.0,13.0,17.0,16.0,19.0,17.0,19.0,19.0,20.0,17.0,17.0,17.0,18.0,18.0,16.0,17.0,17.0,17.0,20.0,18.0,17.0,15.0,14.0,16.0,17.0,15.0,16.0,18.0,15.0,17.0,19.0,19.0
C19orf2,4.0,4.0,3.0,5.0,2.0,2.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,6.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,5.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0
PSMD14,10.0,9.0,6.0,10.0,8.0,6.0,9.0,6.0,7.0,6.0,9.0,9.0,8.0,7.0,6.0,9.0,8.0,10.0,6.0,9.0,8.0,7.0,8.0,8.0,4.0,8.0,7.0,9.0,8.0,9.0,10.0,9.0,11.0,11.0,9.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,7.0,5.0,5.0,7.0,10.0,10.0,10.0,10.0,9.0,10.0,11.0,8.0
TPD52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,32.0,33.0,26.0,31.0,30.0,28.0,22.0,9.0,20.0,17.0,27.0,23.0,30.0,34.0,25.0,30.0,25.0,22.0,14.0,28.0,29.0,22.0,29.0,28.0,13.0,20.0,18.0,31.0,23.0,27.0,28.0,30.0,27.0,28.0,29.0,28.0,28.0,31.0,30.0,30.0,29.0,26.0,24.0,26.0,28.0,26.0,20.0,22.0,22.0,27.0,26.0,27.0,28.0,30.0,31.0,31.0,29.0
