NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
CCN3	1	CCN3	
HMCN1	1	HMCN1	
VSIG4	1	VSIG4	
PTGDS	1	PTGDS	
B2M	1	B2M	
ICOSLG	1	ICOSLG	
ARSA	1	ARSA	
KRT4	1	KRT4	
KRT2	1	KRT2	
ACTN1	1	ACTN1	
BROX	1	BROX	
KRT1	1	KRT1	
KRT8	1	KRT8	
ACSL6	1	ACSL6	
TALDO1	1	TALDO1	
KRT5	1	KRT5	
KRT9	1	KRT9	
SFRP4	1	SFRP4	
AZGP1	1	AZGP1	
BTD	1	BTD	
SLPI	1	SLPI	
MXRA8	1	MXRA8	
PFN1	1	PFN1	
SPRR2E	1	SPRR2E	
CUTA	1	CUTA	
IGSF8	1	IGSF8	
SPRR2F	1	SPRR2F	
KLK1	1	KLK1	
UMOD	1	UMOD	
TXN	1	TXN	
APOH	1	APOH	
APOD	1	APOD	
CD14	1	CD14	
APOE	1	APOE	
A2M	1	A2M	
SPRR2A	1	SPRR2A	
SPRR2B	1	SPRR2B	
TSPAN1	1	TSPAN1	
CTSA	1	CTSA	
VAT1	1	VAT1	
VASN	1	VASN	
CRNN	1	CRNN	
TF	1	TF	
CD27	1	CD27	
SDC1	1	SDC1	
SPRR1A	1	SPRR1A	
SPRR1B	1	SPRR1B	
CD320	1	CD320	
IGHM	1	IGHM	
ROBO4	1	ROBO4	
TENM2	1	TENM2	
ECM1	1	ECM1	
PTPRS	1	PTPRS	
SLC44A4	1	SLC44A4	
ACY1	1	ACY1	
CTSZ	1	CTSZ	
HBB	1	HBB	
SECTM1	1	SECTM1	
HBD	1	HBD	
ORM2	1	ORM2	
WFDC2	1	WFDC2	
JCHAIN	1	JCHAIN	
VMO1	1	VMO1	
HYAL1	1	HYAL1	
CTSH	1	CTSH	
QSOX1	1	QSOX1	
CTSD	1	CTSD	
CTSC	1	CTSC	
CTSB	1	CTSB	
MANBA	1	MANBA	
MME	1	MME	
GAA	1	GAA	
HEG1	1	HEG1	
HBA1	1	HBA1	
PDCD1LG2	1	PDCD1LG2	
CTTN	1	CTTN	
TFF2	1	TFF2	
TFF1	1	TFF1	
ALDOC	1	ALDOC	
ALDOB	1	ALDOB	
ALDOA	1	ALDOA	
MATN4	1	MATN4	
CD44	1	CD44	
SPRR3	1	SPRR3	
CSTB	1	CSTB	
CSTA	1	CSTA	
TNXB	1	TNXB	
CST6	1	CST6	
CPN2	1	CPN2	
CST4	1	CST4	
CST3	1	CST3	
CST2	1	CST2	
CST1	1	CST1	
GPC3	1	GPC3	
CD59	1	CD59	
GPC4	1	GPC4	
RELT	1	RELT	
LAIR1	1	LAIR1	
CD55	1	CD55	
SLURP2	1	SLURP2	
DYNC1H1	1	DYNC1H1	
YIPF3	1	YIPF3	
SUSD2	1	SUSD2	
H2BC3	1	H2BC3	
KRT13	1	KRT13	
KLK13	1	KLK13	
KRT10	1	KRT10	
SLURP1	1	SLURP1	
KRT19	1	KRT19	
KRT16	1	KRT16	
AXL	1	AXL	
CFHR1	1	CFHR1	
KRT15	1	KRT15	
QPCT	1	QPCT	
MEGF8	1	MEGF8	
SPC24	1	SPC24	
FCGBP	1	FCGBP	
CD84	1	CD84	
AMY2B	1	AMY2B	
PEBP1	1	PEBP1	
MPO	1	MPO	
PVR	1	PVR	
TGM1	1	TGM1	
COMP	1	COMP	
PLAU	1	PLAU	
C1RL	1	C1RL	
IGFLR1	1	IGFLR1	
FAM3B	1	FAM3B	
SIRPA	1	SIRPA	
FAM3C	1	FAM3C	
GGT1	1	GGT1	
KRT6C	1	KRT6C	
KRT6B	1	KRT6B	
TGM3	1	TGM3	
KRT6A	1	KRT6A	
KIRREL1	1	KIRREL1	
IL4R	1	IL4R	
CD300A	1	CD300A	
SPINK7	1	SPINK7	
AMY1C	1	AMY2A	
SPINK5	1	SPINK5	
SHISA5	1	SHISA5	
KRT78	1	KRT78	
KRT77	1	KRT77	
PCOLCE	1	PCOLCE	
KRT74	1	KRT74	
KRT73	1	KRT73	
KRT72	1	KRT72	
OSCAR	1	OSCAR	
LGALS9B	1	LGALS9B	
PROCR	1	PROCR	
COL4A2	1	COL4A2	
DPEP1	1	DPEP1	
CD300E	1	CD300E	
MASP2	1	MASP2	
LPA	1	LPA	
PROZ	1	PROZ	
LTBP4	1	LTBP4	
LTBP2	1	LTBP2	
NID1	1	NID1	
FBLN2	1	FBLN2	
FBLN5	1	FBLN5	
SDCBP	1	SDCBP	
EFNB1	1	EFNB1	
CLTRN	1	CLTRN	
IGKV3-15	1	IGKV3-15	
CACNA1S	1	CACNA1S	
IGKV3-11	1	IGKV3-11	
HSPA8	1	HSPA8	
PRNP	1	PRNP	
GGT6	1	GGT6	
VTA1	1	VTA1	
HSPA6	1	HSPA6	
GGH	1	GGH	
MSN	1	MSN	
A2ML1	1	A2ML1	
MAN2B2	1	MAN2B2	
BAMBI	1	BAMBI	
CNTN1	1	CNTN1	
MELTF	1	MELTF	
IGKV3-20	1	IGKV3-20	
FBN1	1	FBN1	
LGALS3BP	1	LGALS3BP	
YWHAE	1	YWHAE	
B4GALT1	1	B4GALT1	
CRISP3	1	CRISP3	
CHD6	1	CHD6	
HSPB1	1	HSPB1	
CLEC14A	1	CLEC14A	
DBI	1	DBI	
CA1	1	CA1	
CALB1	1	CALB1	
IGKV2-28	1	IGKV2-28	
MAN1A1	1	MAN1A1	
MADCAM1	1	MADCAM1	
FGB	1	FGB	
FGA	1	FGA	
ATP6AP1	1	ATP6AP1	
FGG	1	FGG	
TMPRSS11E	1	TMPRSS11E	
YWHAZ	1	YWHAZ	
MMP9	1	MMP9	
TMPRSS11D	1	TMPRSS11D	
ACTA2	1	ACTA2	
TGFBR3	1	TGFBR3	
MMRN1	1	MMRN1	
THRAP3	1	THRAP3	
COL6A1	1	COL6A1	
CDH11	1	CDH11	
MMRN2	1	MMRN2	
ALDH1A1	1	ALDH1A1	
CDH13	1	CDH13	
COL6A3	1	COL6A3	
MYH9	1	MYH9	
CDHR5	1	CDHR5	
DNASE1	1	DNASE1	
FBP1	1	FBP1	
LTF	1	LTF	
PAPPA2	1	PAPPA2	
CHMP5	1	CHMP5	
KRT80	1	KRT80	
LCAT	1	LCAT	
RETN	1	RETN	
ASAP2	1	ASAP2	
ACVR1B	1	ACVR1B	
TFPI	1	TFPI	
THBS1	1	THBS1	
MUC1	1	MUC1	
IGKV1-33	1	IGKV1-33	
OPCML	1	OPCML	
ABCF1	1	ABCF1	
CHGA	1	CHGA	
EGF	1	EGF	
MUC5B	1	MUC5B	
SOD3	1	SOD3	
SOD1	1	SOD1	
GALNS	1	GALNS	
PIK3IP1	1	PIK3IP1	
GLB1	1	GLB1	
CD9	1	CD9	
VIM	1	VIM	
CPVL	1	CPVL	
GLA	1	GLA	
